Country,City,AccentCity,Region,Population,Latitude,Longitude
cn,xiaogujiazi,Xiaogujiazi,19,,40.770014,122.295383
cn,xiasiqiao,Xiasiqiao,04,,31.660073,118.987201
cn,xingjialong,Xingjialong,12,,29.892625,115.324057
cn,yangfangying,Yangfangying,24,,37.493333,112.361389
cn,yaojiaxitou,Yaojiaxitou,12,,30.686247,112.963439
cn,yufenfang,Yufenfang,08,,44.993829,127.468469
cn,zhangqing,Zhangqing,24,,37.646389,112.652222
cn,zhongying,Zhongying,18,,26.066667,105.083333
cn,zhoujiagou,Zhoujiagou,19,,40.635278,125.143056
cn,zhoulichang,Zhoulichang,32,,29.893445,105.130617
cn,zhoulijia,Zhoulijia,12,,30.089564,114.308771
co,arrayan,Arrayán,33,,4.556686,-73.933675
co,bruselas,Bruselas,16,,1.77413,-76.172175
co,buenas aires,Buenas Aires,20,,1.58114,-77.077742
co,caserio el cobado,Caserío El Cobado,35,,10.15,-75.5
co,flores,Flores,02,,8.114845,-74.778523
co,guaspucal,Guaspucal,20,,1.043608,-77.440083
co,horta,Horta,26,,6.183333,-73.866667
co,manuel pastrana,Manuel Pastrana,12,,8.806667,-76.300278
co,tipacoque,Tipacoque,36,1036,6.42031,-72.691842
cr,el arbolito,El Arbolito,03,,9.883333,-85.433333
cu,guasimal,Guasimal,05,,20.9833333,-78.05
cu,islena,Isleña,01,,22.5,-83.5666667
cu,pueblo nuevo,Pueblo Nuevo,07,,21.6758333,-78.8875
cu,reparto sans souci,Reparto Sans Souci,02,,23.0602778,-82.4480556
cv,ribeira da barca,Ribeira da Barca,17,,15.1333333,-23.7666667
cy,perahorya,Perahorya,04,,35.0166667,33.3875
cz,kochanov,Kochanov,88,,49.794484,14.779141
cz,lazne libverda,Lazne Libverda,83,,50.891031,15.20255
cz,medlanka,Medlanka,78,,49.242113,16.571495
cz,suchdol,Suchdol,79,,48.682859,14.447513
de,badanhausen,Badanhausen,02,,49.016667,11.45
de,durnod,Dürnöd,02,,48.35,13.3
de,edenserloog,Edenserloog,06,,53.666667,7.733333
de,enghausen,Enghausen,02,,48.533333,11.9
de,englreiching,Englreiching,02,,48.75,13.183333
de,forsterei kesselsohl,Försterei Kesselsohl,14,,52.366667,11.616667
de,frenke,Frenke,06,,52.016667,9.45
de,goldbach,Goldbach,01,,47.783333,9.15
de,hardesby,Hardesby,10,,54.75,9.65
de,helmbacher,Helmbacher,08,,49.35,7.983333
de,korle,Körle,05,,51.166667,9.516667
de,lessau,Lessau,02,,49.916667,11.7
de,leyh,Leyh,02,,49.45,11.016667
de,marsmeir,Marsmeir,02,,48.133333,12.1
de,neuenothe,Neuenothe,07,,51.016667,7.716667
de,polvitz-neuemuhle,Polvitz-Neuemühle,14,,52.483333,11.416667
de,schaalby,Schaalby,10,,54.55,9.633333
de,schwenow,Schwenow,11,,52.15,14.05
de,sebexen,Sebexen,06,,51.816667,10.033333
de,seeon-seebruck,Seeon-Seebruck,02,,47.966667,12.466667
de,torring,Törring,02,,48.016667,12.75
de,tullingen,Tüllingen,01,,47.602065,7.64474
de,vielstedt,Vielstedt,06,,53.083333,8.466667
de,wallhofen,Wallhöfen,06,,53.316667,8.883333
de,wehe,Wehe,07,,52.466667,8.666667
dk,oster gammelby,Øster Gammelby,21,,54.99548,8.766006
dk,snevre,Snevre,20,,55.64832,11.621644
do,el ingenio abajo,El Ingenio Abajo,25,,19.5,-70.75
do,las uvas,Las Uvas,30,,19.3166667,-70.4666667
dz,agneb,Agneb,13,,33.9833333,1.5833333
dz,djillali ben amar,Djillali Ben Amar,51,,35.4455556,0.8508333
dz,douar ouled ali,Douar Ouled Ali,26,,35.3736111,0.55
dz,fleurus,Fleurus,09,,35.7111111,-0.4419444
dz,neurkache,Neurkache,35,,36.5833333,2.2333333
dz,zemoura,Zemoura,39,,36.2694444,4.8472222
ee,piiometsa,Piiometsa,04,,58.8822222,25.2841667
ee,sinalepa asundus,Sinalepa Asundus,07,,58.8266667,23.5947222
ee,terepi,Terepi,12,,58.1966667,27.2722222
ee,uearu,Uearu,01,,59.2469444,25.3569444
eg,`atf abu gindi,`Atf Abu Gindi,05,,30.9044444,30.9219444
eg,`izbat mastaruh,`Izbat Mastaruh,21,,31.4802778,30.7019444
eg,al bajhur,Al Bajhur,10,,28.6708333,30.7513889
eg,kafr tidah,Kafr Tidah,21,,31.2144444,30.8525
eg,nag` el-zuqeim muhafazet abd alla,Nag` el-Zuqeim Muhafazet Abd Alla,23,,25.9833333,32.8333333
es,ballestro,Ballestro,54,,38.841789,-2.456085
es,besians,Besiáns,52,,42.28211,.354326
es,cabeza de campo,Cabeza de Campo,55,,42.545833,-6.881131
es,cangues,Cangues,58,,42.472425,-8.089597
es,caserio pastranas,Caserío Pastranas,51,,36.733333,-6.4
es,denia,Denia,60,38953,38.841344,.10797
es,luama,Luama,58,,43.693873,-7.858789
es,morente,Morente,34,,43.332049,-5.838774
es,villardiga,Villárdiga,55,,41.819496,-5.464391
et,addi aro,Addi Aro,53,,13.216446,39.256772
et,argebet,Argebet,46,,11.533333,39.116667
et,awala bate,Awala Bate,51,,9.8,38.033333
et,dembeccia,Dembeccia,46,,10.55,37.483333
et,derouda ler,Derouda Ler,52,,7.698333,46.992778
et,kachisi,Kachisi,51,,9.6,37.833333
et,may dema,May Dema,53,,13.035871,39.693719
fi,hyrsyla,Hyrsylä,13,,60.383333,24.033333
fi,hyvolankyla,Hyvölänkylä,14,,63.233333,28.383333
fi,pasto,Pasto,15,,62.616667,23.133333
fi,pelkosenniemi,Pelkosenniemi,06,,67.110833,27.510556
fi,pietarinmaki,Pietarinmäki,13,,60.372778,24.773611
fi,storsvik,Störsvik,13,,60.066667,24.283333
fm,vinau,Vinau,04,,9.5297222,138.0922222
fr,albiac,Albiac,B3,,43.551701,1.78024
fr,beauvais,Beauvais,A8,,48.496127,2.467986
fr,brolles,Brolles,A8,,48.475205,2.691743
fr,claire-fontaine,Claire-Fontaine,A4,,49.427756,4.738675
fr,cleguerec,Cléguérec,A2,,48.125775,-3.071616
fr,courbette,Courbette,A6,,46.595845,5.565111
fr,craches,Craches,A3,,48.556575,1.810971
fr,crossac,Crossac,B5,,47.411195,-2.169522
fr,cuzoul,Cuzoul,B3,,44.750467,1.695915
fr,foret,Forêt,A7,,49.224227,1.529738
fr,la gautrais,La Gautrais,B5,,47.380565,-2.114972
fr,la mare goubert,La Mare Goubert,A7,,49.63772,.182824
fr,la ricamarie,La Ricamarie,B9,7527,45.416843,4.311988
fr,lalleyriat,Lalleyriat,B9,,46.150552,5.711573
fr,le chatellier,Le Châtellier,99,,48.676035,-.581481
fr,les platrieres,Les Platrières,B8,,43.55,5.433333
fr,pleine-seve,Pleine-Sève,A7,,49.817949,.754915
fr,rilly-sainte-syre,Rilly-Sainte-Syre,A4,,48.444761,3.956918
fr,roguinet,Roguinet,A3,,47.208093,.12752
fr,saint-mards-de-fresne,Saint-Mards-de-Fresne,A7,,49.077675,.46703
fr,santa-maria-maddalena,Santa-Maria-Maddalena,B8,,44.1,7.5
fr,subligny,Subligny,A3,,47.402951,2.755044
fr,vauciennes,Vauciennes,A4,,49.05,3.883333
ga,akoumounou,Akoumounou,08,,-1.6666667,9.35
gb,farnham,Farnham,E4,,51.9,.15
gb,folkton,Folkton,J7,,54.2,-.383333
gb,llanddowror,Llanddowror,X7,,51.801667,-4.531389
gb,patcham,Patcham,B6,,50.85,-.15
gb,pembrey,Pembrey,X7,,51.689167,-4.277222
gb,roch,Roch,Y7,,51.846944,-5.086667
gb,seven sisters,Seven Sisters,Y5,,51.766667,-3.716667
gb,thatcham,Thatcham,P4,24275,51.4,-1.266667
gb,westbury on severn,Westbury on Severn,E6,,51.816667,-2.416667
ge,sargveshi,Sargveshi,27,,42.0730556,43.2625
ge,shimokmedi,Shimokmedi,40,,41.9125,42.0925
gf,couriege,Couriège,00,,4.8,-53.2833333
gh,adeemmra,Adeemmra,02,,6.6,-2.05
gh,adugyansu akomada,Adugyansu Akomada,03,,7.3666667,-2.0333333
gh,alabolaboe,Alabolaboe,08,,6.1166667,0.2166667
gh,gupaneirigu,Gupaneirigu,06,,9.4833333,-0.95
gh,gyedua,Gyedua,09,,4.85,-2.0
gh,kuguri,Kuguri,10,,10.7833333,-0.2833333
gh,niflapo,Niflapo,08,,6.1333333,0.1666667
gh,takuve,Takuve,08,,6.45,0.7333333
gh,togodo,Togodo,08,,6.0997222,1.1097222
gh,zawire,Zawire,06,,9.4666667,-0.85
gl,ikerasagssuaq,Ikerasagssuaq,02,,65.5666667,-37.1166667
gm,makama,Makama,05,,13.6,-15.3166667
gn,dangoura,Dangoura,19,,10.8333333,-9.5
gn,nafaguile,Nafaguilé,26,,10.8,-8.75
gq,bantabare pequeno,Bantabaré Pequeño,05,,3.45,8.7833333
gq,bedoum,Bedoum,07,,2.15,11.0833333
gq,bokoricho-balacha,Bokoricho-Balachá,05,,3.4,8.5666667
gq,nsangayong,Nsangayong,09,,1.4166667,11.3
gr,ano vaskina,Áno Vaskína,41,,37.2,22.7833333
gr,bambalio,Bambalió,31,,38.8166667,21.3333333
gr,laringovi,Laringóvi,15,,40.4819444,23.5927778
gr,pirgos,Pírgos,48,,37.7116667,26.8041667
gr,porro mesoyia,Pórro Mesóyia,43,,35.4666667,23.6
gr,satobasi,Satóbasi,21,,39.7833333,22.4
gr,vakkhon,Vákkhon,41,,37.4666667,22.2
gt,la haciendita,La Haciendita,17,,15.133333,-92.083333
gt,patut,Patut,20,,14.4,-91.516667
gt,quimal,Quimal,03,,14.833333,-90.766667
gt,san agustin,San Agustín,17,,15.4,-90.283333
gt,san antonio suchitepequez,San Antonio Suchitepéquez,20,10726,14.533333,-91.416667
gw,quentico,Quenticó,04,,12.1,-15.2666667
gw,umaro bela,Umaro Bela,10,,12.4666667,-14.1333333
hk,so lo pun,So Lo Pun,00,,22.5333333,114.25
hn,alto verde,Alto Verde,17,,13.4405556,-87.4516667
hn,carrizalio,Carrizalio,08,,13.7166667,-87.2833333
hn,el tablado,El Tablado,02,,13.5738889,-87.3461111
hn,miraflores,Miraflores,02,,13.2833333,-86.75
hr,butkovici,Butkovici,04,,45.0097222,13.9091667
hr,miljci,Miljci,15,,43.5905556,16.9802778
hr,moravice srpske,Moravice Srpske,12,,45.4333333,15.0333333
ht,bayado,Bayado,08,,18.4833333,-73.4833333
ht,johanisse,Johanisse,06,,19.3333333,-72.5833333
ht,lochard,Lochard,11,,18.4333333,-72.6333333
ht,nan palmiste,Nan Palmiste,13,,18.2638889,-72.0816667
ht,salor,Salor,08,,18.4166667,-73.2333333
hu,alsoszallas,Alsószállás,10,,47.6,21.766667
hu,kulsofecskespuszta,Kulsofecskespuszta,03,,46.383333,20.816667
hu,miklospuszta,Miklóspuszta,04,,48.316667,20.4
hu,noszlopi tanya,Noszlopi Tanya,23,,47.183333,17.466667
hu,pillingerpuszta,Pillingérpuszta,09,,47.7,17.533333
hu,szantoresz,Szántórész,20,,46.8,20.133333
hu,ujpetre,Újpetre,02,,45.936667,18.3625
id,aluw bateu,Aluw Bateu,01,,4.8798,97.8397
id,baheesioena,Baheesioena,21,,-.7576,122.9605
id,balokan,Balokan,08,,-8.388985,114.119839
id,banjar umesalakan,Banjar Umesalakan,02,,-8.5538,115.3847
id,bantannyuh kelod,Bantannyuh Kelod,02,,-8.4289,115.6138
id,bantarkalong,Bantarkalong,30,,-6.856667,107.328889
id,batangwarak,Batangwarak,08,,-7.7525,111.371944
id,benjaran,Benjaran,10,,-8.046111,110.447778
id,blok lebak,Blok Lebak,30,,-6.705,108.351389
id,busak satu,Busak Satu,21,,1.2484,121.3598
id,cieurih satu,Cieurih Satu,30,,-7.2148,108.3551
id,galuwalakari,Galuwalakari,18,,-9.5987,119.5329
id,glodogan,Glodogan,07,,-7.220278,110.4175
id,kalagheng,Kalagheng,31,,3.4992,125.6376
id,kaliuwi,Kaliuwi,22,,-4.2571,122.1234
id,kayut,Kayut,07,,-7.0949,111.1515
id,kedewatan,Kedewatan,02,,-8.4265,114.9506
id,kedungdawa,Kedungdawa,07,,-6.927,109.0426
id,kembangrejo,Kembangrejo,07,,-7.565556,110.510278
id,kunciran,Kunciran,30,,-6.219444,106.667778
id,limboeng,Limboeng,38,,-2.5719,119.913
id,lowayu,Lowayu,08,,-6.9737,112.4192
id,manggarawan 2,Manggarawan 2,15,,-5.168356,105.634634
id,moeara boelan,Moeara Boelan,14,,1.2,117.55
id,pabuwaranjarak,Pabuwaranjarak,30,,-6.098333,106.598611
id,pajagan tonggoh,Pajagan Tonggoh,30,,-6.911389,106.607222
id,pandangalor,Pandangalor,24,,-.490279,100.183306
id,pangerian,Pangerian,08,,-7.0584,112.8758
id,patan bili,Patan Bili,01,,3.2013,97.2899
id,pekandelan,Pekandelan,02,,-8.3468,115.6151
id,pematangkelukut,Pematangkelukut,01,,3.5717,99.0311
id,pilar satu,Pilar Satu,30,,-6.566944,106.756667
id,ramung,Ramung,26,,3.851,97.5111
id,ruda,Ruda,18,,-8.7162,121.0827
id,sabrang-lor,Sabrang-lor,07,,-7.4775,110.351667
id,sangen lor,Sangen Lor,07,,-7.494167,110.718889
id,sepuntuk,Sepuntuk,07,,-7.55,111.080833
id,setukalibiru,Setukalibiru,07,,-6.9234,109.1546
id,sibodadi,Sibodadi,01,,4.3061,98.1829
id,sumbermanggis,Sumbermanggis,08,,-7.9215,111.8586
id,tegineneng,Tegineneng,15,,-5.20365,105.176144
id,temorleke,Temorleke,08,,-7.1141,112.7878
id,tjigalontjang,Tjigalontjang,30,,-7.3224,108.0052
id,urutsewu,Urutsewu,07,,-7.439444,110.536389
id,villabukutbandung,Villabukutbandung,30,,-6.928056,107.748333
id,warmandi,Warmandi,39,,-.366667,132.65
ie,bunnagee,Bunnagee,06,,54.9419444,-7.6941667
ie,dun leire,Dún Léire,19,,53.835,-6.3961111
ie,kilbraney,Kilbraney,30,,52.3244444,-6.8347222
ie,mullaghnaneane,Mullaghnaneane,25,,54.3755556,-8.5316667
ie,sandymount,Sandymount,07,,53.335,-6.2113889
in,astagaon,Astagaon,16,,19.666667,74.5
in,bagra,Bagra,24,,25.2,72.583333
in,binewal,Binewal,23,,31.283333,76.25
in,gangolli,Gangolli,19,,13.65,74.666667
in,hadgaon buzurg,Hadgaon Buzurg,16,,19.316667,76.333333
in,haftan,Haftan,12,,34.368056,73.85
in,kangra,Kangra,11,9159,32.1,76.266667
in,katghara brahmanan,Katghara Brahmanan,36,,26.4778,79.3579
in,madawara,Madawara,24,,25.366667,76.15
in,nal ka talav,Nal ka Talav,24,,25.138611,75.612222
in,pasrai,Pasrai,36,,25.5023,79.0269
in,prahladpur,Prahladpur,36,,25.433333,83.45
in,sehral,Sehral,35,,24.9405,78.8782
in,siryasar,Siryasar,24,,28.0771,75.314
in,watwanpur,Watwanpur,12,,34.1625,74.563889
iq,bahriz,Bahriz,10,,33.7055556,44.6505556
iq,chamsayda,Chamsayda,08,,37.1913889,43.2611111
iq,dewana,Dewana,05,,35.1788889,45.5725
iq,hizana,Hizana,08,,36.8583333,43.6902778
iq,hulwan,Hulwan,10,,34.3330556,45.2008333
iq,sayyid `abd `ali,Sayyid `Abd `Ali,09,,30.9236111,46.7258333
iq,suse-i kon,Suse-i Kon,05,,35.7672222,45.1083333
iq,wihab,Wihab,01,,33.3508333,44.1347222
ir,`abbasabad-e jadid,`Abbasabad-e Jadid,42,,35.035604,59.295116
ir,aqkul,Aqkul,34,,35.11,49.4675
ir,atmiyan,Atmiyan,33,,38.1687,47.2848
ir,banehdar-e `aziz,Banehdar-e `Aziz,13,,34.9126,45.8788
ir,benuk,Benuk,04,,27.395708,60.82304
ir,bushkan,Bushkan,07,,30.06,52.44
ir,chah-e sang,Chah-e Sang,29,,28.5027,56.0173
ir,chashmeh-e sabz,Chashmeh-e Sabz,29,,29.464444,56.425
ir,dar mian-e nahr,Dar Mian-e Nahr,29,,30.480343,57.320026
ir,daraj-e `olya,Daraj-e `Olya,42,,33.394317,60.171259
ir,emameh-ye bala,Emameh-ye Bala,39,,34.9,51.583333
ir,gaisur bala,Gaisur Bala,42,,34.266839,59.261859
ir,garang,Garang,29,,28.783333,56.816667
ir,gelyard,Gelyard,35,,36.61119,52.943054
ir,gham towrqeh,Gham Towrqeh,16,,36.277,47.8217
ir,givshad,Givshad,41,,32.654574,59.095305
ir,gowhar,Gowhar,13,,34.0266,46.329
ir,hajji `abbasi,Hajji `Abbasi,11,,27.226667,57.051944
ir,jenablu,Jenablu,32,,38.65,48.116667
ir,kalateh-ye avaz,Kalateh-ye Avaz,41,,31.648467,59.419373
ir,kallu,Kallu,36,,36.0131,48.9319
ir,kat cheshmeh,Kat Cheshmeh,35,,36.540233,53.957785
ir,kazab,Kazab,04,,25.566667,61.316667
ir,khanqah-e pa'in,Khanqah-e Pa'in,32,,38.4,48.333333
ir,kora'i-ye bala,Kora'i-ye Bala,15,,31.805,49.1985
ir,kurak,Kurak,42,,37.358183,59.14337
ir,kushk-e esma`ilabad,Kushk-e Esma`ilabad,07,,29.013,52.5672
ir,mir hashim,Mir Hashim,40,,31.461888,54.253496
ir,mo'asseseh-ye hajji khan dusti,Mo'asseseh-ye Hajji Khan Dusti,15,,31.537778,48.890278
ir,morad tappeh,Morad Tappeh,44,,35.7336,50.2919
ir,mowmenabad,Mowmenabad,25,,35.544364,53.297962
ir,mozdaran,Mozdaran,42,,36.156078,60.53095
ir,owli qeshlaq,Owli Qeshlaq,33,,39.125,47.1958
